name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Hyundai i20 2023,2023,732765.0,46048,Diesel,Dealer,Manual,Second,11.3,1207,104.85,21Nm,7
Hyundai Creta 2015,2015,697480.0,76237,Electric,Dealer,Manual,Second,13.31,2464,126.6,71Nm,7
Maruti Baleno 2023,2023,150000.0,65392,CNG,Individual,Automatic,Second,11.45,1438,160.17,58Nm,5
Ford EcoSport 2023,2023,812486.0,70217,Electric,Dealer,Manual,Fourth,19.28,1159,162.02,56Nm,7
Tata Nexon 2012,2012,150000.0,96673,Diesel,Dealer,Automatic,First,19.54,1474,97.43,43Nm,4
Honda City 2022,2022,372799.0,44993,Petrol,Dealer,Manual,Second,23.88,1332,139.46,34Nm,5
Honda City 2015,2015,150000.0,117715,Petrol,Dealer,Automatic,Fourth,18.51,1546,143.33,33Nm,4
Kia Sonet 2022,2022,669675.0,70142,Diesel,Dealer,Automatic,Second,21.21,1503,105.7,57Nm,7
Renault Triber 2015,2015,684542.0,28131,Electric,Dealer,Automatic,First,21.88,1094,104.88,24Nm,4
Renault Triber 2021,2021,877844.5,71348,Electric,Dealer,Automatic,First,18.05,2391,84.69,61Nm,7
Honda City 2016,2016,416433.0,66985,Diesel,Dealer,Automatic,First,21.43,2476,116.0,26Nm,7
Ford Endeavour 2020,2020,403624.0,89818,Diesel,Dealer,Manual,Third,23.78,1328,127.86,51Nm,7
Maruti Swift 2017,2017,150000.0,119008,CNG,Individual,Manual,First,17.29,1491,59.0,68Nm,7
Volkswagen Vento 2014,2014,150000.0,96474,LPG,Dealer,Manual,Third,23.93,2078,148.18,64Nm,7
Tata Harrier 2018,2018,150000.0,98039,CNG,Individual,Automatic,Fourth,10.32,1245,122.01,57Nm,4
Tata Nexon 2013,2013,150000.0,102778,Petrol,Dealer,Manual,First,14.18,1062,113.1,54Nm,5
Mahindra Bolero 2015,2015,150000.0,112841,LPG,Dealer,Automatic,Second,16.35,1191,110.71,66Nm,4
Maruti Swift 2012,2012,150000.0,62772,CNG,Dealer,Manual,Second,16.33,1390,86.21,35Nm,4
Hyundai Venue 2020,2020,372257.0,22833,Petrol,Dealer,Manual,First,13.21,1482,102.14,23Nm,4
Mahindra Bolero 2012,2012,150000.0,61173,CNG,Dealer,Automatic,Third,18.34,1864,143.39,29Nm,7
Tata Harrier 2015,2015,724478.0,17665,Electric,Dealer,Manual,Third,23.79,1115,119.05,23Nm,4
Volkswagen Vento 2014,2014,746692.0,18981,Electric,Dealer,Manual,Second,18.92,1824,130.52,46Nm,4
