InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541602,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-08-08 14:00:00,2.18,13288.0,United Kingdom
540634,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2011-10-06 11:05:00,7.16,13120.0,United Kingdom
541423,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-07-28 19:30:00,1.8,13253.0,Spain
538439,47566,PARTY BUNTING,14,2011-07-15 16:45:00,5.25,12764.0,United Kingdom
540553,22086,PAPER CHAIN KIT 50'S CHRISTMAS,22,2010-07-13 09:47:00,6.32,13111.0,United Kingdom
537537,22632,HAND WARMER RED POLKA DOT,13,2011-06-02 14:59:00,2.83,12604.0,United Kingdom
542009,22752,SET 7 BABUSHKA NESTING BOXES,5,2010-10-21 16:26:00,4.96,13356.0,Netherlands
536131,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-08-25 19:07:00,4.52,12373.0,United Kingdom
541484,22632,HAND WARMER RED POLKA DOT,4,2011-02-28 15:57:00,1.7,13265.0,United Kingdom
537037,22803,PINK SPOTTY CUP,5,2011-05-30 10:00:00,3.31,12520.0,United Kingdom
541888,21871,SAVE THE PLANET MUG,3,2010-12-16 09:50:00,0.63,13336.0,Germany
540415,71053,WHITE METAL LANTERN,10,2011-06-27 18:40:00,2.89,13092.0,Spain
539039,84406B,CREAM CUPID HEARTS COAT HANGER,21,2011-06-16 16:28:00,4.41,12858.0,Netherlands
536308,22633,HAND WARMER UNION JACK,6,2011-10-07 11:30:00,2.06,12404.0,  United Kingdom  
536015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2011-08-25 14:18:00,4.35,12350.0,United Kingdom
538762,22633,HAND WARMER UNION JACK,3,2011-10-31 14:57:00,0.71,12808.0,United Kingdom
542369,21871,SAVE THE PLANET MUG,8,2011-09-04 09:15:00,1.05,13434.0,United Kingdom
542913,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-09-17 16:03:00,1.88,13525.0,United Kingdom
541786,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-12-09 14:36:00,2.16,13320.0,United Kingdom
541552,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2011-08-28 16:56:00,2.41,13277.0,  United Kingdom  
536141,71053,WHITE METAL LANTERN,8,2011-10-19 12:28:00,5.48,12374.0,United Kingdom
537956,37410,TWO DOOR CURTAIN,4,2011-09-12 13:34:00,9.73,12668.0,United Kingdom
543007,71053,WHITE METAL LANTERN,8,2011-09-22 19:52:00,5.77,13541.0,Australia
540806,22086,,7,2011-09-23 11:34:00,3.36,13151.0,Portugal
536408,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-10-06 09:51:00,3.83,12419.0,United Kingdom
536540,22752,SET 7 BABUSHKA NESTING BOXES,14,2011-10-03 16:06:00,10.01,12434.0,United Kingdom
536490,22803,PINK SPOTTY CUP,9,2011-07-16 16:53:00,4.34,12430.0,United Kingdom
539476,22633,HAND WARMER UNION JACK,11,2011-11-18 12:49:00,5.73,12935.0,  United Kingdom  
537829,20725,LUNCH BAG RED RETROSPOT,13,2011-08-23 10:50:00,2.55,12639.0,United Kingdom
541146,20727,LUNCH BAG BLACK SKULL,3,2011-10-26 16:11:00,1.24,13204.0,United Kingdom
