CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TenureDays,SnapshotDate,Cluster,DistanceToCentroid,Segment
12346,284,1,12.9,12.9,284,2011-12-10 18:30:00,1,0.7399635554848525,Hibernating / Lost
12347,167,3,58.510000000000005,19.503333333333334,251,2011-12-10 18:30:00,1,0.5510474633845818,Hibernating / Lost
12348,14,2,34.65,17.325,21,2011-12-10 18:30:00,2,0.5477948460388364,New / Promising
12349,164,1,18.130000000000003,18.130000000000003,164,2011-12-10 18:30:00,1,0.7049976707901818,Hibernating / Lost
12350,59,12,1172.45,97.70416666666667,428,2011-12-10 18:30:00,0,0.4006758089944646,Loyal Customers
12351,6,3,5.85,1.95,19,2011-12-10 18:30:00,2,0.9989843292948581,New / Promising
12352,98,1,17.59,17.59,98,2011-12-10 18:30:00,1,0.929527363297244,Hibernating / Lost
12353,473,2,44.019999999999996,22.009999999999998,510,2011-12-10 18:30:00,1,0.5930124742066338,Hibernating / Lost
12354,38,15,1836.65,122.44333333333334,371,2011-12-10 18:30:00,0,0.48365407258052995,Loyal Customers
12355,245,2,95.44,47.72,282,2011-12-10 18:30:00,1,0.6090255631979224,Hibernating / Lost
12356,31,9,581.18,64.57555555555555,276,2011-12-10 18:30:00,0,0.40331827115826313,Loyal Customers
12357,28,1,2.14,2.14,28,2011-12-10 18:30:00,2,0.8977594597538542,New / Promising
12358,112,4,44.63,11.1575,182,2011-12-10 18:30:00,3,0.7992677054618509,At Risk - High Value
12359,17,1,14.4,14.4,17,2011-12-10 18:30:00,2,0.3803224993647934,New / Promising
12360,59,6,194.13,32.355,203,2011-12-10 18:30:00,3,0.4852503688061346,At Risk - High Value
12361,22,8,265.53,33.19125,243,2011-12-10 18:30:00,5,0.7013547302825696,Loyal Customers (less frequent)
12362,179,4,133.66,33.415,229,2011-12-10 18:30:00,3,0.530076193560512,At Risk - High Value
12363,31,14,2090.86,149.34714285714287,394,2011-12-10 18:30:00,0,0.4740818227440549,Loyal Customers
12364,40,1,40.120000000000005,40.120000000000005,40,2011-12-10 18:30:00,2,0.9175896624314884,New / Promising
12365,494,2,29.1,14.55,500,2011-12-10 18:30:00,1,0.5843853204378492,Hibernating / Lost
12366,383,3,61.55,20.516666666666666,401,2011-12-10 18:30:00,1,0.639700504263411,Hibernating / Lost
12367,9,8,546.62,68.3275,204,2011-12-10 18:30:00,5,0.44439621335177437,Loyal Customers (less frequent)
12368,27,1,3.68,3.68,27,2011-12-10 18:30:00,2,0.7288956521924553,New / Promising
12369,14,2,15.969999999999999,7.984999999999999,51,2011-12-10 18:30:00,2,0.2664477782145177,New / Promising
12370,72,3,79.64,26.546666666666667,110,2011-12-10 18:30:00,3,0.8291563656271055,At Risk - High Value
12371,26,15,1349.32,89.95466666666667,507,2011-12-10 18:30:00,0,0.4650352406683056,Loyal Customers
12372,123,2,130.86,65.43,147,2011-12-10 18:30:00,1,0.9045442326047415,Hibernating / Lost
12373,22,27,8278.97,306.6285185185185,694,2011-12-10 18:30:00,4,0.7951301814661105,Champions
12374,52,16,1592.63,99.539375,624,2011-12-10 18:30:00,0,0.5889482928613083,Loyal Customers
