CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TenureDays,SnapshotDate,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12346,284,1,12.9,12.9,284,2011-12-10 18:30:00,1,1,1,3,111
12347,167,3,58.510000000000005,19.503333333333334,251,2011-12-10 18:30:00,2,2,2,6,222
12348,14,2,34.65,17.325,21,2011-12-10 18:30:00,5,1,2,8,512
12349,164,1,18.130000000000003,18.130000000000003,164,2011-12-10 18:30:00,2,1,1,4,211
12350,59,12,1172.45,97.70416666666667,428,2011-12-10 18:30:00,3,5,5,13,355
12351,6,3,5.85,1.95,19,2011-12-10 18:30:00,5,2,1,8,521
12352,98,1,17.59,17.59,98,2011-12-10 18:30:00,2,1,1,4,211
12353,473,2,44.019999999999996,22.009999999999998,510,2011-12-10 18:30:00,1,1,2,4,112
12354,38,15,1836.65,122.44333333333334,371,2011-12-10 18:30:00,3,5,5,13,355
12355,245,2,95.44,47.72,282,2011-12-10 18:30:00,1,1,3,5,113
12356,31,9,581.18,64.57555555555555,276,2011-12-10 18:30:00,4,4,4,12,444
12357,28,1,2.14,2.14,28,2011-12-10 18:30:00,4,1,1,6,411
12358,112,4,44.63,11.1575,182,2011-12-10 18:30:00,2,3,2,7,232
12359,17,1,14.4,14.4,17,2011-12-10 18:30:00,4,1,1,6,411
12360,59,6,194.13,32.355,203,2011-12-10 18:30:00,3,3,3,9,333
12361,22,8,265.53,33.19125,243,2011-12-10 18:30:00,4,4,4,12,444
12362,179,4,133.66,33.415,229,2011-12-10 18:30:00,2,3,3,8,233
12363,31,14,2090.86,149.34714285714287,394,2011-12-10 18:30:00,4,5,5,14,455
12364,40,1,40.120000000000005,40.120000000000005,40,2011-12-10 18:30:00,3,1,2,6,312
12365,494,2,29.1,14.55,500,2011-12-10 18:30:00,1,1,2,4,112
12366,383,3,61.55,20.516666666666666,401,2011-12-10 18:30:00,1,2,2,5,122
12367,9,8,546.62,68.3275,204,2011-12-10 18:30:00,5,4,4,13,544
12368,27,1,3.68,3.68,27,2011-12-10 18:30:00,4,1,1,6,411
12369,14,2,15.969999999999999,7.984999999999999,51,2011-12-10 18:30:00,5,1,1,7,511
