area,location,rooms,bathrooms,garage,age,quality,renovated,price
1477.0,Suburb,4,2.2,3.0,15.0,7,0,355200
960.0,Waterfront,4,1.0,2.0,60.0,6,0,535800
1703.0,Downtown,6,1.8,,15.0,7,0,456200
1810.0,Rural,6,1.8,,5.0,6,1,346100
717.0,Suburb,2,1.0,,21.0,3,0,210600
883.0,Suburb,4,,4.0,77.0,6,0,234500
1395.0,Rural,6,2.4,2.0,29.0,8,0,285500
1211.0,Suburb,3,1.6,1.0,25.0,5,0,326900
1332.0,Rural,4,1.9,2.0,75.0,7,0,208800
1019.0,Rural,3,1.7,3.0,46.0,6,0,203700
1775.0,Waterfront,6,2.1,2.0,10.0,6,0,772900
1718.0,Rural,5,2.5,1.0,22.0,8,0,308600
1368.0,Downtown,6,1.8,1.0,3.0,7,1,439100
1921.0,Rural,6,2.2,1.0,40.0,7,1,322700
1556.0,Suburb,5,1.9,3.0,32.0,8,0,388700
,Downtown,4,1.0,2.0,9.0,6,1,358400
1507.0,Suburb,4,,1.0,35.0,4,0,315800
986.0,Rural,3,1.0,2.0,29.0,5,0,184600
1774.0,Downtown,5,1.4,2.0,68.0,4,1,387900
1318.0,Suburb,4,1.5,2.0,94.0,7,0,247900
1262.0,Suburb,3,1.0,1.0,55.0,7,1,287200
1077.0,Suburb,4,1.2,1.0,27.0,7,0,308900
1981.0,Rural,6,,3.0,31.0,7,0,356500
1275.0,Downtown,4,1.5,2.0,15.0,7,0,438900
1168.0,Rural,4,1.0,2.0,17.0,4,1,223800
1197.0,Rural,4,1.6,2.0,26.0,6,0,229600
1588.0,Suburb,4,,2.0,24.0,4,1,357600
1506.0,Suburb,5,1.8,2.0,9.0,6,0,404000
1529.0,Downtown,5,1.3,2.0,68.0,8,0,420500
1537.0,Downtown,4,,3.0,75.0,8,1,376100
2658.0,Suburb,9,3.3,3.0,67.0,8,0,510500
1176.0,Downtown,3,1.6,1.0,76.0,6,0,318100
1137.0,Rural,3,1.0,2.0,111.0,5,0,174600
1032.0,Suburb,2,1.0,3.0,15.0,6,1,313100
1631.0,Downtown,6,1.5,4.0,108.0,8,1,383400
1922.0,Suburb,5,1.9,3.0,22.0,7,0,435700
1291.0,Rural,3,1.0,1.0,45.0,4,1,228300
1024.0,Downtown,3,,3.0,7.0,6,0,335000
1029.0,Rural,3,1.4,2.0,20.0,3,0,219200
1649.0,Downtown,4,1.6,3.0,56.0,7,1,437000
1699.0,Waterfront,6,1.9,3.0,46.0,5,1,690300
1594.0,Suburb,4,1.7,1.0,21.0,5,1,373100
1083.0,Suburb,3,1.6,2.0,31.0,7,1,323800
1443.0,Suburb,4,1.4,3.0,18.0,7,0,379000
1390.0,Suburb,5,1.3,2.0,56.0,6,1,347800
1437.0,Rural,5,1.3,2.0,71.0,9,0,261200
1770.0,Downtown,6,1.6,1.0,15.0,7,0,467400
1439.0,Downtown,4,1.8,3.0,28.0,5,1,342800
1664.0,Downtown,4,1.8,2.0,8.0,7,0,474400
1369.0,Suburb,5,1.5,1.0,34.0,6,0,343200
1469.0,Rural,6,2.1,2.0,41.0,8,1,311600
1639.0,Downtown,6,2.3,2.0,36.0,7,0,418200
840.0,Rural,3,1.0,2.0,39.0,6,0,205300
